Condition,Category,MatchingBrain,MatchingMS,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
ADCell,GOTERM_BP_DIRECT,0,0,GO:0046686~response to cadmium ion,4,0.705467372,0.030076315,"GCLC, PCNA, CDK1, NUDT1",533,25,19416,5.828442777,1,0.919163974,0.914052496
ADCell,GOTERM_BP_DIRECT,0,0,GO:0007229~integrin-mediated signaling pathway,8,1.410934744,0.030368191,"FGR, CD40LG, ITGB5, ITGA3, ITGB3, PLEK, NEDD9, ITGBL1",533,109,19416,2.673597604,1,0.919163974,0.914052496
ADCell,GOTERM_BP_DIRECT,1,0,GO:0006605~protein targeting,5,0.881834215,0.031908473,"SYNGR1, KCNQ3, LTBP2, SORL1, YWHAG",533,44,19416,4.139519018,1,0.937925013,0.932709205
ADCell,GOTERM_BP_DIRECT,0,0,GO:0071526~semaphorin-plexin signaling pathway,5,0.881834215,0.031908473,"SH3BP1, SEMA4D, FLNA, TREM2, PLXNC1",533,44,19416,4.139519018,1,0.937925013,0.932709205
ADCell,GOTERM_BP_DIRECT,0,0,GO:0045071~negative regulation of viral genome replication,5,0.881834215,0.031908473,"IFITM1, ILF3, ZNFX1, SLPI, IFIT1",533,44,19416,4.139519018,1,0.937925013,0.932709205
ADCell,GOTERM_BP_DIRECT,0,1,GO:0007166~cell surface receptor signaling pathway,17,2.998236332,0.033072555,"IFITM1, MS4A7, LILRB1, INHBA, LILRB2, CLEC4A, ADGRD1, EDNRB, CD40LG, PECAM1, CCL2, TNFRSF14, CD14, CD36, CCR5, CD101, LY6E",533,351,19416,1.764307821,1,0.938287905,0.933070079
ADCell,GOTERM_BP_DIRECT,0,0,GO:0042554~superoxide anion generation,4,0.705467372,0.033326164,"NCF1, NCF1B, ACP5, NCF1C",533,26,19416,5.604271901,1,0.938287905,0.933070079
ADCell,GOTERM_BP_DIRECT,0,0,"GO:0051932~synaptic transmission, GABAergic",4,0.705467372,0.033326164,"ALDH5A1, CLSTN3, HAPLN4, EZH2",533,26,19416,5.604271901,1,0.938287905,0.933070079
ADCell,GOTERM_BP_DIRECT,0,0,GO:0000281~mitotic cytokinesis,6,1.058201058,0.034538671,"ZFYVE26, NUSAP1, CDCA8, MYH10, AURKB, CEP55",533,66,19416,3.311615214,1,0.938287905,0.933070079
ADCell,GOTERM_BP_DIRECT,0,0,GO:0150078~positive regulation of neuroinflammatory response,3,0.529100529,0.034990128,"IL6, IL1B, NUPR1",533,11,19416,9.934845642,1,0.938287905,0.933070079
ADCell,GOTERM_BP_DIRECT,0,0,GO:0051256~mitotic spindle midzone assembly,3,0.529100529,0.034990128,"PRC1, CDCA8, AURKB",533,11,19416,9.934845642,1,0.938287905,0.933070079
ADCell,GOTERM_BP_DIRECT,0,0,GO:0019372~lipoxygenase pathway,3,0.529100529,0.034990128,"HPGD, ALOX5, ALOX5AP",533,11,19416,9.934845642,1,0.938287905,0.933070079
ADCell,GOTERM_BP_DIRECT,0,0,GO:0010887~negative regulation of cholesterol storage,3,0.529100529,0.034990128,"ABCA1, TREM2, ABCG1",533,11,19416,9.934845642,1,0.938287905,0.933070079
ADCell,GOTERM_BP_DIRECT,0,0,GO:0071223~cellular response to lipoteichoic acid,3,0.529100529,0.034990128,"TREM2, CD14, CD36",533,11,19416,9.934845642,1,0.938287905,0.933070079
ADCell,GOTERM_BP_DIRECT,0,0,GO:0070493~thrombin-activated receptor signaling pathway,3,0.529100529,0.034990128,"HPGD, PLEK, F2RL2",533,11,19416,9.934845642,1,0.938287905,0.933070079
ADCell,GOTERM_BP_DIRECT,0,0,GO:0030216~keratinocyte differentiation,6,1.058201058,0.036516719,"ST14, ASAH1, NFKBIZ, EPHA2, EZH2, SAV1",533,67,19416,3.262188121,1,0.952303759,0.947007991
ADCell,GOTERM_BP_DIRECT,0,0,GO:0010875~positive regulation of cholesterol efflux,4,0.705467372,0.036750783,"ABCA1, TREM2, APOE, ABCG1",533,27,19416,5.396706275,1,0.952303759,0.947007991
ADCell,GOTERM_BP_DIRECT,0,0,GO:0001835~blastocyst hatching,4,0.705467372,0.036750783,"CMTM3, RBBP8, BCOR, ASF1B",533,27,19416,5.396706275,1,0.952303759,0.947007991
ADCell,GOTERM_BP_DIRECT,0,0,GO:0050796~regulation of insulin secretion,5,0.881834215,0.036770461,"IL6, ALOX5, IL1B, GCK, RAPGEF3",533,46,19416,3.95953993,1,0.952303759,0.947007991
ADCell,GOTERM_BP_DIRECT,0,0,GO:0045766~positive regulation of angiogenesis,10,1.76366843,0.037070379,"C3, IL1A, GRN, IL1B, ITGB3, C3AR1, HMOX1, SASH1, HK2, RAPGEF3",533,164,19416,2.221205326,1,0.952303759,0.947007991
ADCell,GOTERM_BP_DIRECT,0,1,GO:0032760~positive regulation of tumor necrosis factor production,8,1.410934744,0.037409492,"IL1A, IL6, CCL3, CD14, CD36, CLU, HLA-E, LILRA5",533,114,19416,2.556334551,1,0.953006806,0.947707128
ADCell,GOTERM_BP_DIRECT,0,0,GO:0050830~defense response to Gram-positive bacterium,9,1.587301587,0.039097248,"FGR, IL6, IL1B, HMGB2, ACP5, TNFRSF14, CD36, EPHA2, HLA-E",533,140,19416,2.341785044,1,0.97728935,0.971854636
ADCell,GOTERM_BP_DIRECT,0,0,GO:1904646~cellular response to amyloid-beta,5,0.881834215,0.039352474,"CDK5, TREM2, CD36, IGF1R, LGMN",533,47,19416,3.875294399,1,0.97728935,0.971854636
ADCell,GOTERM_BP_DIRECT,0,0,GO:0048333~mesodermal cell differentiation,3,0.529100529,0.041239884,"ITGA3, ITGB3, INHBA",533,12,19416,9.106941839,1,0.97728935,0.971854636
ADCell,GOTERM_BP_DIRECT,0,0,GO:0051156~glucose 6-phosphate metabolic process,3,0.529100529,0.041239884,"HK3, GCK, HK2",533,12,19416,9.106941839,1,0.97728935,0.971854636
ADCell,GOTERM_BP_DIRECT,0,0,GO:0048680~positive regulation of axon regeneration,3,0.529100529,0.041239884,"GRN, FLNA, IGF1R",533,12,19416,9.106941839,1,0.97728935,0.971854636
ADCell,GOTERM_BP_DIRECT,0,0,"GO:0015015~heparan sulfate proteoglycan biosynthetic process, enzymatic modification",3,0.529100529,0.041239884,"NDST2, HS3ST1, HS3ST2",533,12,19416,9.106941839,1,0.97728935,0.971854636
ADCell,GOTERM_BP_DIRECT,0,0,GO:0010936~negative regulation of macrophage cytokine production,3,0.529100529,0.041239884,"PRG2, ACP5, IRAK3",533,12,19416,9.106941839,1,0.97728935,0.971854636
ADCell,GOTERM_BP_DIRECT,0,0,GO:0140105~interleukin-10-mediated signaling pathway,3,0.529100529,0.041239884,"LILRB1, LILRB2, JAK1",533,12,19416,9.106941839,1,0.97728935,0.971854636
ADCell,GOTERM_BP_DIRECT,0,0,GO:0045842~positive regulation of mitotic metaphase/anaphase transition,3,0.529100529,0.041239884,"RB1, UBE2C, DLGAP5",533,12,19416,9.106941839,1,0.97728935,0.971854636
ADCell,GOTERM_BP_DIRECT,0,1,GO:0070098~chemokine-mediated signaling pathway,6,1.058201058,0.042862095,"CCL3L3, CCRL2, CCL3, CCL2, CCR6, CCR5",533,70,19416,3.122380059,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0032869~cellular response to insulin stimulus,7,1.234567901,0.044436501,"RB1, GCLC, DENND4C, PNPLA3, CPEB2, GCK, YWHAG",533,94,19416,2.71270608,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,1,GO:0006909~phagocytosis,6,1.058201058,0.045115375,"P2RY6, CD93, PECAM1, CRYBA1, CD14, LDLR",533,71,19416,3.078402875,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,1,0,GO:0032496~response to lipopolysaccharide,9,1.587301587,0.046454439,"THBD, HPGD, SLPI, IL1B, COL6A1, HMGB2, RPL13A, ACP5, IRAK3",533,145,19416,2.261033836,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0033690~positive regulation of osteoblast proliferation,3,0.529100529,0.047871576,"ITGB3, HPSE, IGF1R",533,13,19416,8.406407851,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0033700~phospholipid efflux,3,0.529100529,0.047871576,"ABCA1, APOE, ABCG1",533,13,19416,8.406407851,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0090181~regulation of cholesterol metabolic process,3,0.529100529,0.047871576,"APOE, LDLR, ABCG1",533,13,19416,8.406407851,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,"GO:0060100~positive regulation of phagocytosis, engulfment",3,0.529100529,0.047871576,"C3, TREM2, CD36",533,13,19416,8.406407851,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0051983~regulation of chromosome segregation,3,0.529100529,0.047871576,"CDCA2, MKI67, AURKB",533,13,19416,8.406407851,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0033344~cholesterol efflux,4,0.705467372,0.048054589,"ABCA1, APOE, LIPA, ABCG1",533,30,19416,4.857035647,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:1902430~negative regulation of amyloid-beta formation,4,0.705467372,0.048054589,"RTN1, APOE, CLU, SORL1",533,30,19416,4.857035647,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0030866~cortical actin cytoskeleton organization,4,0.705467372,0.048054589,"NCKAP1, EHD2, FMNL1, PLEK",533,30,19416,4.857035647,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0006956~complement activation,4,0.705467372,0.048054589,"C3, C1QA, C1S, CLU",533,30,19416,4.857035647,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0043547~positive regulation of GTPase activity,7,1.234567901,0.048385799,"NET1, TBC1D2, SH3BP1, SEMA4D, RAPGEF3, EZH2, S100A10",533,96,19416,2.65619137,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0006346~DNA methylation-dependent constitutive heterochromatin formation,4,0.705467372,0.052158136,"HELLS, DNMT1, DPEP2, EZH2",533,31,19416,4.700357078,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,1,0,GO:0001934~positive regulation of protein phosphorylation,11,1.940035273,0.053416671,"C3, EDNRB, CCND2, GPNMB, SEMA4D, IL1B, ITGB3, PECAM1, NPTN, TREM2, INHBA",533,203,19416,1.973918428,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0002477~antigen processing and presentation of exogenous peptide antigen via MHC class Ib,2,0.352733686,0.054050773,"HLA-F, HLA-E",533,2,19416,36.42776735,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0141119~chromosomal DNA methylation maintenance following DNA replication,2,0.352733686,0.054050773,"HELLS, DNMT1",533,2,19416,36.42776735,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0071830~triglyceride-rich lipoprotein particle clearance,2,0.352733686,0.054050773,"APOE, LIPA",533,2,19416,36.42776735,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0150107~positive regulation of protein localization to cell-cell junction,2,0.352733686,0.054050773,"CTNND1, PECAM1",533,2,19416,36.42776735,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:1990426~mitotic recombination-dependent replication fork processing,2,0.352733686,0.054050773,"RAD51, BRCA2",533,2,19416,36.42776735,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:1902998~positive regulation of neurofibrillary tangle assembly,2,0.352733686,0.054050773,"APOE, CLU",533,2,19416,36.42776735,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,"GO:0043373~CD4-positive, alpha-beta T cell lineage commitment",2,0.352733686,0.054050773,"CTSL, TOX",533,2,19416,36.42776735,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:1902151~regulation of response to DNA integrity checkpoint signaling,2,0.352733686,0.054050773,"RBM14, RBM14-RBM4",533,2,19416,36.42776735,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0002540~leukotriene production involved in inflammatory response,2,0.352733686,0.054050773,"ALOX5, ALOX5AP",533,2,19416,36.42776735,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0001970~positive regulation of activation of membrane attack complex,2,0.352733686,0.054050773,"C3, CR1",533,2,19416,36.42776735,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0140052~cellular response to oxidised low-density lipoprotein particle stimulus,3,0.529100529,0.054859666,"TREM2, CD36, CD68",533,14,19416,7.805950147,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0010745~negative regulation of macrophage derived foam cell differentiation,3,0.529100529,0.054859666,"ABCA1, ITGB3, ABCG1",533,14,19416,7.805950147,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:1990845~adaptive thermogenesis,3,0.529100529,0.054859666,"CLSTN3, LIPA, SORL1",533,14,19416,7.805950147,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0030195~negative regulation of blood coagulation,3,0.529100529,0.054859666,"THBD, APOE, TFPI",533,14,19416,7.805950147,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0051984~positive regulation of chromosome segregation,3,0.529100529,0.054859666,"CDC6, SMC4, SMC2",533,14,19416,7.805950147,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,1,GO:0007267~cell-cell signaling,12,2.116402116,0.055271986,"C1QA, FZD2, GPNMB, IL1B, STAB1, CCL3, ANGPTL2, LILRB2, INHBA, CCR5, ADRA2B, FADS1",533,232,19416,1.884194863,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:1900745~positive regulation of p38MAPK cascade,4,0.705467372,0.056424981,"NCF1, IL1B, STK39, SASH1",533,32,19416,4.553470919,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0070372~regulation of ERK1 and ERK2 cascade,4,0.705467372,0.056424981,"IL1A, IL1B, FAM83D, EPHA2",533,32,19416,4.553470919,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,1,GO:0001666~response to hypoxia,10,1.76366843,0.056901,"DPP4, IL1A, EGR1, MIR223, KCNMA1, MYB, PSEN2, ARNT, CXCR4, HK2",533,178,19416,2.046503784,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,1,GO:0014823~response to activity,5,0.881834215,0.056957884,"IL6, GCLC, ITGB3, CDK1, CXCR4",533,53,19416,3.436581826,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,1,0,GO:0071260~cellular response to mechanical stimulus,6,1.058201058,0.057426177,"CASP8AP2, GCLC, CASP5, IL1B, ITGB3, IGF1R",533,76,19416,2.87587637,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0051276~chromosome organization,4,0.705467372,0.060852075,"RB1, CDCA8, SMC4, PELO",533,33,19416,4.415486952,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0006636~unsaturated fatty acid biosynthetic process,3,0.529100529,0.062179725,"FADS2, SCD, FADS1",533,15,19416,7.285553471,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:1901029~negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway,3,0.529100529,0.062179725,"GCLC, BCL2L1, IER3",533,15,19416,7.285553471,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:1902230~negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage,3,0.529100529,0.062179725,"CLU, TRIM32, BCL2L1",533,15,19416,7.285553471,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0097028~dendritic cell differentiation,3,0.529100529,0.062179725,"BATF3, TREM2, LILRB1",533,15,19416,7.285553471,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,1,0,GO:0016322~neuron remodeling,3,0.529100529,0.062179725,"C3, C1QA, KCNQ3",533,15,19416,7.285553471,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:2000001~regulation of DNA damage checkpoint,3,0.529100529,0.062179725,"RAD51, BRCA2, WDR76",533,15,19416,7.285553471,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0001833~inner cell mass cell proliferation,3,0.529100529,0.062179725,"BRCA2, PRPF19, PELO",533,15,19416,7.285553471,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0044027~negative regulation of gene expression via chromosomal CpG island methylation,3,0.529100529,0.062179725,"HELLS, DNMT1, UHRF1",533,15,19416,7.285553471,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,1,0,GO:0002430~complement receptor mediated signaling pathway,3,0.529100529,0.062179725,"C3, CR1, C3AR1",533,15,19416,7.285553471,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:1905606~regulation of presynapse assembly,4,0.705467372,0.065436169,"LRRTM3, CLSTN3, IL1RAP, GPC4",533,34,19416,4.285619689,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0071345~cellular response to cytokine stimulus,4,0.705467372,0.065436169,"ABCA1, MME, DPYSL3, CXCR4",533,34,19416,4.285619689,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0035987~endodermal cell differentiation,4,0.705467372,0.065436169,"ITGB5, COL12A1, COL6A1, INHBA",533,34,19416,4.285619689,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0042771~intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,4,0.705467372,0.065436169,"BCL3, NUPR1, BRCA2, PHLDA3",533,34,19416,4.285619689,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0032729~positive regulation of type II interferon production,6,1.058201058,0.06564887,"SLC7A5, IL1B, BCL3, LILRB1, CD14, BTN3A2",533,79,19416,2.766665875,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,1,0,GO:0043065~positive regulation of apoptotic process,15,2.645502646,0.066726796,"HPGD, LILRB1, CLU, IGF2R, SAV1, IFIT2, NET1, BCLAF1, IL6, ALDH1A2, KCNMA1, CTSD, PHLDA1, BCL2L1, PHLDA3",533,327,19416,1.670998503,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0045730~respiratory burst,3,0.529100529,0.069808392,"NCF1, NCF1B, NCF1C",533,16,19416,6.830206379,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0000028~ribosomal small subunit assembly,3,0.529100529,0.069808392,"RPS15, RPS5, RPSA",533,16,19416,6.830206379,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0002407~dendritic cell chemotaxis,3,0.529100529,0.069808392,"CXCR4, CCR6, CCR5",533,16,19416,6.830206379,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,"GO:0006957~complement activation, alternative pathway",3,0.529100529,0.069808392,"C3, CR1, VSIG4",533,16,19416,6.830206379,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0051310~metaphase chromosome alignment,3,0.529100529,0.069808392,"CENPF, FAM83D, SKA3",533,16,19416,6.830206379,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0045446~endothelial cell differentiation,3,0.529100529,0.069808392,"FZD2, S1PR1, CXCR4",533,16,19416,6.830206379,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,1,GO:0090280~positive regulation of calcium ion import,3,0.529100529,0.069808392,"TRPV2, CCL3, CCL2",533,16,19416,6.830206379,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0051146~striated muscle cell differentiation,3,0.529100529,0.069808392,"SPAG9, RB1, POPDC3",533,16,19416,6.830206379,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0010273~detoxification of copper ion,3,0.529100529,0.069808392,"MT1M, MT1F, MT1H",533,16,19416,6.830206379,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,1,GO:0006968~cellular defense response,5,0.881834215,0.070679074,"NCF1, LILRB2, CCR6, LSP1, CCR5",533,57,19416,3.195418189,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0045892~negative regulation of DNA-templated transcription,23,4.05643739,0.071629733,"RB1, CASP8AP2, ZHX2, ASAH1, HMGB2, TWIST2, CHD3, FOXM1, TOB1, CENPF, GCLC, BCLAF1, ILF3, FABP4, CDK5, MYB, BCL3, RBBP8, DPEP2, SRSF2, CAPN3, BCOR, EZH2",533,574,19416,1.459649215,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0007259~cell surface receptor signaling pathway via JAK-STAT,5,0.881834215,0.074350973,"IL6, CCL2, SOCS6, CSF2RA, JAK1",533,58,19416,3.140324772,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,1,GO:0007160~cell-matrix adhesion,7,1.234567901,0.076517521,"CDK5, ITGB5, ITGA3, ITGB3, ITGBL1, HPSE, THBS3",533,108,19416,2.361058995,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0048265~response to pain,3,0.529100529,0.07772333,"EDNRB, COL6A1, AQP9",533,17,19416,6.428429533,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0055091~phospholipid homeostasis,3,0.529100529,0.07772333,"ABCA1, RCN3, ABCG1",533,17,19416,6.428429533,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0008637~apoptotic mitochondrial changes,3,0.529100529,0.07772333,"HK2, BCL2L1, IFIT2",533,17,19416,6.428429533,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0002021~response to dietary excess,3,0.529100529,0.07772333,"STK39, APOE, LIPA",533,17,19416,6.428429533,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0006260~DNA replication,7,1.234567901,0.079205832,"FAM111B, DUT, RFC4, ORC1, RFC2, CDK1, MCM4",533,109,19416,2.339397904,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:1990830~cellular response to leukemia inhibitory factor,7,1.234567901,0.079205832,"HELLS, SYNGR1, BCLAF1, SRSF3, MYBL2, SRSF7, HK2",533,109,19416,2.339397904,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0006412~translation,11,1.940035273,0.079721728,"RPS15, RPL5, RPS17, RPS5, RPL13A, RPSA, RPL15, RPS27A, CPEB2, RPS10, RPS12",533,219,19416,1.82970521,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0061771~response to caloric restriction,2,0.352733686,0.07997253,"APOE, LDLR",533,3,19416,24.28517824,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:1902024~L-histidine transport,2,0.352733686,0.07997253,"SLC7A5, SLC3A2",533,3,19416,24.28517824,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0015828~tyrosine transport,2,0.352733686,0.07997253,"SLC7A5, SLC3A2",533,3,19416,24.28517824,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0015829~valine transport,2,0.352733686,0.07997253,"SLC7A5, SLC3A2",533,3,19416,24.28517824,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0002448~mast cell mediated immunity,2,0.352733686,0.07997253,"NDST2, SERPINB9",533,3,19416,24.28517824,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0062033~positive regulation of mitotic sister chromatid segregation,2,0.352733686,0.07997253,"CDK1, AURKB",533,3,19416,24.28517824,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0070341~fat cell proliferation,2,0.352733686,0.07997253,"COL6A1, LIPA",533,3,19416,24.28517824,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0051101~regulation of DNA binding,2,0.352733686,0.07997253,"BCL3, HJURP",533,3,19416,24.28517824,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:1902850~microtubule cytoskeleton organization involved in mitosis,2,0.352733686,0.07997253,"CDK1, TACC3",533,3,19416,24.28517824,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0001660~fever generation,2,0.352733686,0.07997253,"IL1A, IL1B",533,3,19416,24.28517824,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0034219~carbohydrate transmembrane transport,2,0.352733686,0.07997253,"TMEM144, SLC17A5",533,3,19416,24.28517824,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:1900221~regulation of amyloid-beta clearance,2,0.352733686,0.07997253,"APOE, CLU",533,3,19416,24.28517824,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:1903801~L-leucine import across plasma membrane,2,0.352733686,0.07997253,"SLC7A5, SLC3A2",533,3,19416,24.28517824,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,"GO:0045957~negative regulation of complement activation, alternative pathway",2,0.352733686,0.07997253,"CR1, VSIG4",533,3,19416,24.28517824,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0030421~defecation,2,0.352733686,0.07997253,"MDK, LIPA",533,3,19416,24.28517824,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0002767~immune response-inhibiting cell surface receptor signaling pathway,2,0.352733686,0.07997253,"LILRB1, LILRB2",533,3,19416,24.28517824,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0003012~muscle system process,2,0.352733686,0.07997253,"TRIM72, COL6A1",533,3,19416,24.28517824,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0015821~methionine transport,2,0.352733686,0.07997253,"SLC7A5, SLC3A2",533,3,19416,24.28517824,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:1905704~positive regulation of inhibitory synapse assembly,2,0.352733686,0.07997253,"SEMA4D, CLSTN3",533,3,19416,24.28517824,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0150064~vertebrate eye-specific patterning,2,0.352733686,0.07997253,"C3, C1QA",533,3,19416,24.28517824,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0140077~positive regulation of lipoprotein transport,2,0.352733686,0.07997253,"TMEM97, APOE",533,3,19416,24.28517824,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:2001240~negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,4,0.705467372,0.085271648,"IL1A, IL1B, IFI6, BCL2L1",533,38,19416,3.834501827,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0045926~negative regulation of growth,3,0.529100529,0.085903192,"MT1M, MT1F, MT1H",533,18,19416,6.071294559,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0023052~signaling,3,0.529100529,0.085903192,"CCL3, CCR5, DLGAP5",533,18,19416,6.071294559,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0034374~low-density lipoprotein particle remodeling,3,0.529100529,0.085903192,"APOE, PLA2G7, ABCG1",533,18,19416,6.071294559,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0032006~regulation of TOR signaling,3,0.529100529,0.085903192,"TMEM127, TREM2, FAM83D",533,18,19416,6.071294559,1,1,0.994764398
ADCell,GOTERM_BP_DIRECT,0,0,GO:0048143~astrocyte activation,3,0.529100529,0.085903192,"C1QA, IL1B, TREM2",533,18,19416,6.071294559,1,1,0.994764398
